id,url,zh_tw,ja,en,translate,note
gre133,https://www.busfan.club/uncensored/genre/gre133,受虐,ドM,ドM
gre083,https://www.busfan.club/uncensored/genre/gre083,口交,フェラ,フェラ
gre089,https://www.busfan.club/uncensored/genre/gre089,口內射精,口内発射,口内発射
gre116,https://www.busfan.club/uncensored/genre/gre116,口射,口射,口射
m8,https://www.busfan.club/uncensored/genre/m8,同事,同僚,同僚
gre007,https://www.busfan.club/uncensored/genre/gre007,同性戀,レズ,Lesbian
gre103,https://www.busfan.club/uncensored/genre/gre103,吞精,ごっくん,Gokkun
gre096,https://www.busfan.club/uncensored/genre/gre096,吸精,掃除,掃除
6f,https://www.busfan.club/uncensored/genre/6f,和室,和室,和室
3i,https://www.busfan.club/uncensored/genre/3i,和服,着物,着物
gc,https://www.busfan.club/uncensored/genre/gc,問卷,アンケート,アンケート
vn,https://www.busfan.club/uncensored/genre/vn,問題,質問,質問
1d3,https://www.busfan.club/uncensored/genre/1d3,啦啦隊,チアリーダー,Chearleaders
1cv,https://www.busfan.club/uncensored/genre/1cv,喝口水,唾液を飲む,saliva
14v,https://www.busfan.club/uncensored/genre/14v,喝尿,飲尿,drinking piss
gre012,https://www.busfan.club/uncensored/genre/gre012,喝酒,酒,酒
du,https://www.busfan.club/uncensored/genre/du,喪服,喪服,喪服
gre056,https://www.busfan.club/uncensored/genre/gre056,圍裙,エプロン,エプロン
13k,https://www.busfan.club/uncensored/genre/13k,地下室,地下室,Basement
e5,https://www.busfan.club/uncensored/genre/e5,壓力,ストレス,ストレス
gre043,https://www.busfan.club/uncensored/genre/gre043,外觀相似,そっくりさん,そっくりさん
ee,https://www.busfan.club/uncensored/genre/ee,外遇,浮気,浮気
gre126,https://www.busfan.club/uncensored/genre/gre126,多P,３P,３P
gre111,https://www.busfan.club/uncensored/genre/gre111,多人口交,Ｗフェラ,Ｗフェラ
gre077,https://www.busfan.club/uncensored/genre/gre077,多毛,毛深い,毛深い
10q,https://www.busfan.club/uncensored/genre/10q,大便,うんち,うんち
5d,https://www.busfan.club/uncensored/genre/5d,大學生,大学生,大学生
hb,https://www.busfan.club/uncensored/genre/hb,大街,街中,街中
88,https://www.busfan.club/uncensored/genre/88,大衣,コート,コート
gre119,https://www.busfan.club/uncensored/genre/gre119,大量潮吹,大量潮吹き,大量潮吹き
i0,https://www.busfan.club/uncensored/genre/i0,大陰蒂,巨大クリ,巨大クリ
bm,https://www.busfan.club/uncensored/genre/bm,夫婦,夫婦,夫婦
gre118,https://www.busfan.club/uncensored/genre/gre118,失禁,失禁,失禁
gre060,https://www.busfan.club/uncensored/genre/gre060,套裝,スーツ,スーツ
13,https://www.busfan.club/uncensored/genre/13,女僕,メイド,Maid
gre039,https://www.busfan.club/uncensored/genre/gre039,女教師,女教師,女教師
gre158,https://www.busfan.club/uncensored/genre/gre158,女王,女王,Queen
14l,https://www.busfan.club/uncensored/genre/14l,女體盛,女体盛り,Foods on Body
28,https://www.busfan.club/uncensored/genre/28,奴役,ボンテージ,Bondage
1a1,https://www.busfan.club/uncensored/genre/1a1,奶奶,お婆ちゃん,お婆ちゃん
gre028,https://www.busfan.club/uncensored/genre/gre028,姐姐,お姉さん,お姉さん
8i,https://www.busfan.club/uncensored/genre/8i,婚禮,ウェディング,ウェディング
gre036,https://www.busfan.club/uncensored/genre/gre036,媽媽,ママ,ママ
66,https://www.busfan.club/uncensored/genre/66,嬌小,小柄,小柄
gre038,https://www.busfan.club/uncensored/genre/gre038,孕婦,妊娠,妊娠
sub,https://www.busfan.club/uncensored/genre/sub,字幕,字幕,Subtile
7k,https://www.busfan.club/uncensored/genre/7k,學校,学校,学校
gre031,https://www.busfan.club/uncensored/genre/gre031,學生,女子校生,女子校生
qm,https://www.busfan.club/uncensored/genre/qm,客人,お客,お客
e7,https://www.busfan.club/uncensored/genre/e7,家中,自宅,自宅
6e,https://www.busfan.club/uncensored/genre/6e,密室,密室,密室
v6,https://www.busfan.club/uncensored/genre/v6,密會,密会,密会
ok,https://www.busfan.club/uncensored/genre/ok,寡婦,未亡人,未亡人
gre006,https://www.busfan.club/uncensored/genre/gre006,實拍,ドキュメント/実録,ドキュメント/実録
